[2026-01-16T01:53:19.152Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: undefined
[2026-01-16T01:55:47.537Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: undefined
[2026-01-16T01:56:38.193Z] LOGIN: superadmin@ev.com | isSuperAdmin: true | Forced: true | Final: super_admin
[2026-01-16T01:56:38.487Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: super_admin
[2026-01-16T01:56:38.491Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:56:38.493Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: super_admin
[2026-01-16T01:56:38.510Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:56:38.735Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T01:56:38.768Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T01:56:38.769Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T01:56:38.772Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T01:56:42.086Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:56:42.095Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:57:07.102Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: super_admin
[2026-01-16T01:57:16.674Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:57:16.675Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: super_admin
[2026-01-16T01:57:16.688Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:57:16.689Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: super_admin
[2026-01-16T01:57:16.738Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
